index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-128;-107;-121;100,0.0000,4.597,6.737,0,0,YZ:3 S=-128;-107;-121;100
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-128;-127;-128;126,0.0000,4.735,6.812,0,0,YZ:3 S=-128;-127;-128;126
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,4.515,6.813,0,0,YZ:3 S=-128;-127;-128;127
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,3.321,8.050,0,0,YZ:2 S=-128;-127;127;-128
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-128;-124;-128;124,0.0000,3.376,8.264,0,0,YZ:3 S=-128;-124;-128;124
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-128;-120;98;-105,0.0000,4.758,6.704,0,0,YZ:2 S=-128;-120;98;-105
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-128;-128;127;-127,0.0000,3.231,8.012,0,0,YZ:2 S=-128;-128;127;-127
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-128;-101;-126;98,0.0000,3.189,8.297,0,0,YZ:3 S=-128;-101;-126;98
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-128;-108;-127;107,0.0000,3.306,8.323,0,0,YZ:3 S=-128;-108;-127;107
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.198,8.157,0,0,YZ:2 S=-128;-128;127;-128
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,43;-71;-119;-109,0.0000,3.194,8.336,0,0,YZ:0 S=43;-71;-119;-109
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.101,8.252,0,0,YZ:2 S=-128;-128;127;-128
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.360,8.322,0,0,YZ:2 S=-128;-128;127;-128
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-128;-113;-128;112,0.0000,4.723,6.806,0,0,YZ:3 S=-128;-113;-128;112
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,4.646,6.790,0,0,YZ:2 S=-128;-128;127;-128
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-128;-6;-128;6,0.0000,3.151,8.310,0,0,YZ:3 S=-128;-6;-128;6
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,4.821,6.759,0,0,YZ:2 S=-128;-127;127;-128
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.271,8.315,0,0,YZ:2 S=-128;-128;127;-128
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-128;-120;-128;119,0.0000,5.017,6.726,0,0,YZ:3 S=-128;-120;-128;119
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-128;-120;-121;113,0.0000,3.170,8.214,0,0,YZ:3 S=-128;-120;-121;113
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.185,8.393,0,0,YZ:2 S=-128;-128;127;-128
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,5.086,6.747,0,0,YZ:3 S=-128;-126;-128;126
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,3.320,7.972,0,0,YZ:3 S=-128;-126;-128;126
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,3.282,8.302,0,0,YZ:3 S=-128;-127;-128;127
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,-128;-124;-128;124,0.0000,3.275,8.250,0,0,YZ:3 S=-128;-124;-128;124
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,-128;-124;-128;124,0.0000,4.559,6.930,0,0,YZ:3 S=-128;-124;-128;124
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.306,8.260,0,0,YZ:2 S=-128;-128;127;-128
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,-128;-12;-128;11,0.0000,3.333,8.298,0,0,YZ:3 S=-128;-12;-128;11
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,-128;6;-16;-119,0.0000,3.101,8.375,0,0,YZ:1 S=-128;6;-16;-119
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,-128;-128;-128;127,0.0000,3.222,8.280,0,0,YZ:3 S=-128;-128;-128;127
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.351,8.307,0,0,YZ:2 S=-128;-128;127;-128
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,-128;-117;-128;117,0.0000,3.178,8.106,0,0,YZ:3 S=-128;-117;-128;117
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,-128;-127;126;-128,0.0000,3.182,8.347,0,0,YZ:2 S=-128;-127;126;-128
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,-128;4;-80;-52,0.0000,4.864,6.745,0,0,YZ:1 S=-128;4;-80;-52
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,3.172,8.185,0,0,YZ:3 S=-128;-127;-128;127
35,no_270bfa52_nohash_1,no,no,1,no,1,-128;-125;-128;125,-128;-125;-128;125,0.0000,3.221,8.428,0,0,YZ:3 S=-128;-125;-128;125
36,go_6adb8ad9_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,-128;-95;-128;95,0.0000,3.145,8.380,0,0,YZ:3 S=-128;-95;-128;95
37,go_cb72dfb6_nohash_3,no,no,1,unknown,0,-128;-56;-125;53,-128;-60;-125;57,0.7812,4.711,6.797,0,0,YZ:3 S=-128;-60;-125;57
38,no_b69002d4_nohash_0,no,no,1,no,1,-128;-30;-126;28,-128;-30;-126;28,0.0000,3.202,8.181,0,0,YZ:3 S=-128;-30;-126;28
39,go_56eab10e_nohash_0,no,no,1,unknown,0,-128;-122;-128;122,-128;-122;-128;122,0.0000,3.210,8.331,0,0,YZ:3 S=-128;-122;-128;122
40,go_d0faf7e4_nohash_3,unknown,unknown,1,unknown,1,-128;45;-127;-45,-128;45;-127;-45,0.0000,4.742,6.751,0,0,YZ:1 S=-128;45;-127;-45
41,no_dce05676_nohash_0,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,2.160,9.087,0,0,YZ:3 S=-128;-126;-128;126
42,go_bb6d4301_nohash_3,no,no,1,unknown,0,-128;-73;-128;72,-128;-73;-128;72,0.0000,4.758,6.737,0,0,YZ:3 S=-128;-73;-128;72
43,no_1dc86f91_nohash_3,no,no,1,no,1,-128;-108;-126;106,-128;-108;-126;106,0.0000,4.663,6.849,0,0,YZ:3 S=-128;-108;-126;106
