index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,-128;-107;-121;100,0.0000,5.132,21.327,0,0,YZ:3 S=-128;-107;-121;100
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,-128;-127;-128;126,0.0000,4.488,21.227,0,0,YZ:3 S=-128;-127;-128;126
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,-128;-127;-128;127,0.0000,4.449,22.063,0,0,YZ:3 S=-128;-127;-128;127
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,5.481,21.175,0,0,YZ:2 S=-128;-127;127;-128
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,-128;-124;-128;124,0.0000,4.572,22.298,0,0,YZ:3 S=-128;-124;-128;124
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,-128;-120;98;-105,0.0000,4.787,21.027,0,0,YZ:2 S=-128;-120;98;-105
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,-128;-128;127;-127,0.0000,4.613,22.032,0,0,YZ:2 S=-128;-128;127;-127
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,-128;-101;-126;98,0.0000,4.826,21.873,0,0,YZ:3 S=-128;-101;-126;98
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,-128;-108;-127;107,0.0000,4.658,21.503,0,0,YZ:3 S=-128;-108;-127;107
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,4.726,21.410,0,0,YZ:2 S=-128;-128;127;-128
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,43;-71;-119;-109,0.0000,4.500,21.224,0,0,YZ:0 S=43;-71;-119;-109
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,4.614,21.819,0,0,YZ:2 S=-128;-128;127;-128
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,3.396,22.402,0,0,YZ:2 S=-128;-128;127;-128
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,-128;-113;-128;112,0.0000,5.418,21.155,0,0,YZ:3 S=-128;-113;-128;112
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,4.470,21.951,0,0,YZ:2 S=-128;-128;127;-128
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,-128;-6;-128;6,0.0000,5.309,21.348,0,0,YZ:3 S=-128;-6;-128;6
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,-128;-127;127;-128,0.0000,4.464,21.275,0,0,YZ:2 S=-128;-127;127;-128
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,4.236,21.568,0,0,YZ:2 S=-128;-128;127;-128
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,-128;-120;-128;119,0.0000,6.627,20.740,0,0,YZ:3 S=-128;-120;-128;119
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,-128;-120;-121;113,0.0000,5.193,21.769,0,0,YZ:3 S=-128;-120;-121;113
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,-128;-128;127;-128,0.0000,5.494,20.958,0,0,YZ:2 S=-128;-128;127;-128
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,-128;-126;-128;126,0.0000,4.433,21.867,0,0,YZ:3 S=-128;-126;-128;126
