dosya,etiket,hw,sw,hw_cevrim,sw_cevrim
dataset/.hex_cache/bilinmeyen/bed_0ea0e2f4_nohash_1.wav.hex,1,1,1,45539,12610073
dataset/.hex_cache/bilinmeyen/bird_2c6d3924_nohash_0.wav.hex,1,1,1,45539,12605792
dataset/.hex_cache/bilinmeyen/cat_8fe67225_nohash_0.wav.hex,1,1,1,45539,12607586
dataset/.hex_cache/bilinmeyen/dog_85d2ac4b_nohash_2.wav.hex,1,3,3,45539,12609857
dataset/.hex_cache/bilinmeyen/eight_67961766_nohash_0.wav.hex,1,1,1,45539,12605321
dataset/.hex_cache/bilinmeyen/eight_82b99576_nohash_0.wav.hex,1,1,1,45539,12609275
dataset/.hex_cache/bilinmeyen/eight_f9643d42_nohash_2.wav.hex,1,1,1,45539,12610070
dataset/.hex_cache/bilinmeyen/five_7dc95912_nohash_1.wav.hex,1,1,1,45539,12610829
dataset/.hex_cache/bilinmeyen/five_c7dc7278_nohash_0.wav.hex,1,1,1,45539,12607895
dataset/.hex_cache/bilinmeyen/follow_b7e9f841_nohash_2.wav.hex,1,1,1,45539,12608780
dataset/.hex_cache/bilinmeyen/forward_c7dc7278_nohash_2.wav.hex,1,1,1,45539,12607805
dataset/.hex_cache/bilinmeyen/four_5170b77f_nohash_2.wav.hex,1,3,3,45539,12608063
dataset/.hex_cache/bilinmeyen/four_d1bf406b_nohash_0.wav.hex,1,3,3,45539,12610715
dataset/.hex_cache/bilinmeyen/happy_5828dfa2_nohash_1.wav.hex,1,1,1,45539,12608471
dataset/.hex_cache/bilinmeyen/happy_f17d21b5_nohash_0.wav.hex,1,1,1,45539,12610205
dataset/.hex_cache/bilinmeyen/learn_0cb74144_nohash_0.wav.hex,1,1,1,45539,12607037
dataset/.hex_cache/bilinmeyen/marvin_3b4f8f24_nohash_0.wav.hex,1,1,1,45539,12609905
dataset/.hex_cache/bilinmeyen/nine_3df9a3d4_nohash_0.wav.hex,1,3,3,45539,12611906
dataset/.hex_cache/bilinmeyen/nine_7257420c_nohash_0.wav.hex,1,1,1,45539,12610046
dataset/.hex_cache/bilinmeyen/nine_fb7eb481_nohash_1.wav.hex,1,1,1,45539,12608495
dataset/.hex_cache/bilinmeyen/one_692a88e6_nohash_1.wav.hex,1,1,1,45539,12607409
dataset/.hex_cache/bilinmeyen/one_d5b963aa_nohash_0.wav.hex,1,1,1,45539,12608336
dataset/.hex_cache/bilinmeyen/seven_563aa4e6_nohash_2.wav.hex,1,1,1,45539,12607082
dataset/.hex_cache/bilinmeyen/sheila_4c6167ca_nohash_1.wav.hex,1,3,3,45539,12611153
dataset/.hex_cache/bilinmeyen/sheila_af130f12_nohash_3.wav.hex,1,1,1,45539,12608360
dataset/.hex_cache/bilinmeyen/six_5c8af87a_nohash_0.wav.hex,1,1,1,45539,12607844
dataset/.hex_cache/bilinmeyen/six_a6f2fd71_nohash_4.wav.hex,1,2,2,45539,12607928
dataset/.hex_cache/bilinmeyen/six_f428ca69_nohash_0.wav.hex,1,1,1,45539,12607748
dataset/.hex_cache/bilinmeyen/three_370844f7_nohash_1.wav.hex,1,1,1,45539,12607442
dataset/.hex_cache/bilinmeyen/three_e9901cf0_nohash_1.wav.hex,1,1,1,45539,12609788
dataset/.hex_cache/bilinmeyen/tree_a4e8a997_nohash_1.wav.hex,1,1,1,45539,12609530
dataset/.hex_cache/bilinmeyen/two_964e8cfd_nohash_2.wav.hex,1,1,1,45539,12608408
dataset/.hex_cache/bilinmeyen/two_e1469561_nohash_3.wav.hex,1,1,1,45539,12609350
dataset/.hex_cache/bilinmeyen/wow_81dc4a94_nohash_0.wav.hex,1,1,1,45539,12609050
dataset/.hex_cache/bilinmeyen/wow_dc75148d_nohash_0.wav.hex,1,3,3,45539,12608057
dataset/.hex_cache/bilinmeyen/zero_893705bb_nohash_3.wav.hex,1,3,3,45539,12610235
dataset/.hex_cache/bilinmeyen/zero_d0faf7e4_nohash_4.wav.hex,1,3,3,45539,12608750
dataset/.hex_cache/no/03401e93_nohash_1.hex,3,3,3,45539,12605537
dataset/.hex_cache/no/0cb74144_nohash_0.hex,3,3,3,45539,12607313
dataset/.hex_cache/no/189cbabe_nohash_4.hex,3,3,3,45539,12609179
dataset/.hex_cache/no/1b4c9b89_nohash_0.hex,3,3,3,45539,12609221
dataset/.hex_cache/no/2fa39636_nohash_0.hex,3,3,3,45539,12612389
dataset/.hex_cache/no/37dca74f_nohash_1.hex,3,3,3,45539,12607448
dataset/.hex_cache/no/3d86b69a_nohash_3.hex,3,3,3,45539,12611369
dataset/.hex_cache/no/4c6167ca_nohash_5.hex,3,3,3,45539,12607412
dataset/.hex_cache/no/563aa4e6_nohash_4.hex,3,3,3,45539,12608867
dataset/.hex_cache/no/5c8af87a_nohash_3.hex,3,3,3,45539,12607655
dataset/.hex_cache/no/63f7a489_nohash_3.hex,3,3,3,45539,12608060
dataset/.hex_cache/no/6736bc64_nohash_1.hex,3,3,3,45539,12610739
dataset/.hex_cache/no/6e916de8_nohash_1.hex,3,3,3,45539,12609800
dataset/.hex_cache/no/837a0f64_nohash_3.hex,3,3,3,45539,12608237
dataset/.hex_cache/no/85834399_nohash_0.hex,3,3,3,45539,12608819
dataset/.hex_cache/no/863880b7_nohash_1.hex,3,3,3,45539,12609614
dataset/.hex_cache/no/893705bb_nohash_7.hex,3,3,3,45539,12610430
dataset/.hex_cache/no/8ec6dab6_nohash_2.hex,3,3,3,45539,12607769
dataset/.hex_cache/no/91b03183_nohash_0.hex,3,3,3,45539,12610385
