blok,test,tohum,sonuc,gecti,beklenen_basarisiz,ihlal,uyari,hata,yazma,okuma,kontrol,uyusmazlik,sure
gpio,gpio_bitwalk_test,1,GECTI,True,False,0,0,0,34,33,33,0,0.7
gpio,gpio_bitwalk_test,2,GECTI,True,False,0,0,0,34,33,33,0,0.7
gpio,gpio_bitwalk_test,3,GECTI,True,False,0,0,0,34,33,33,0,0.7
gpio,gpio_display_test,1,GECTI,True,False,0,0,0,13,0,0,0,3.2
gpio,gpio_display_test,2,GECTI,True,False,0,0,0,13,0,0,0,3.8
gpio,gpio_display_test,3,GECTI,True,False,0,0,0,13,0,0,0,3.3
gpio,gpio_pad_test,1,GECTI,True,False,0,0,0,3,5,5,0,0.7
gpio,gpio_pad_test,2,GECTI,True,False,0,0,0,3,5,5,0,0.6
gpio,gpio_pad_test,3,GECTI,True,False,0,0,0,3,5,5,0,0.6
gpio,gpio_random_test,1,GECTI,True,False,0,0,0,37,101,101,0,3.4
gpio,gpio_random_test,2,GECTI,True,False,0,0,0,18,78,78,0,2.5
gpio,gpio_random_test,3,GECTI,True,False,0,0,0,32,90,90,0,3.1
gpio,gpio_reset_mid_test,1,GECTI,True,False,0,0,0,5,16,16,0,1.1
gpio,gpio_reset_mid_test,2,GECTI,True,False,0,0,0,9,12,12,0,1.2
gpio,gpio_reset_mid_test,3,GECTI,True,False,0,0,0,5,16,16,0,1.1
gpio,gpio_reset_test,1,GECTI,True,False,0,0,0,0,3,3,0,0.8
gpio,gpio_reset_test,2,GECTI,True,False,0,0,0,0,3,3,0,0.7
gpio,gpio_reset_test,3,GECTI,True,False,0,0,0,0,3,3,0,0.8
gpio,gpio_ro_test,1,GECTI,True,False,0,0,0,2,3,3,0,0.7
gpio,gpio_ro_test,2,GECTI,True,False,0,0,0,2,3,3,0,0.7
gpio,gpio_ro_test,3,GECTI,True,False,0,0,0,2,3,3,0,0.6
gpio,gpio_stress_test,1,GECTI,True,False,0,0,0,4,4,4,0,0.7
gpio,gpio_stress_test,2,GECTI,True,False,0,0,0,4,4,4,0,0.7
gpio,gpio_stress_test,3,GECTI,True,False,0,0,0,4,4,4,0,0.7
gpio,gpio_unmapped_test,1,GECTI,True,False,0,0,0,2,2,1,0,0.8
gpio,gpio_unmapped_test,2,GECTI,True,False,0,0,0,2,2,1,0,0.7
gpio,gpio_unmapped_test,3,GECTI,True,False,0,0,0,2,2,1,0,0.6
i2c,i2c_bitwalk_test,1,GECTI,True,False,0,0,0,68,66,66,0,0.7
i2c,i2c_bitwalk_test,2,GECTI,True,False,0,0,0,68,66,66,0,0.8
i2c,i2c_bitwalk_test,3,GECTI,True,False,0,0,0,68,66,66,0,0.7
i2c,i2c_flags_test,1,GECTI,True,False,0,0,0,9,52,1,0,0.8
