Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,881
design__inferred_latch__count,0
design__instance__count,1343041
design__instance__area,1.4281E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,341
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,18
power__internal__total,0.03801107406616211
power__switching__total,0.006479197181761265
power__leakage__total,0.00026078836526721716
power__total,0.044751059263944626
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.356466644069927
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.7676156594297516
timing__hold__ws__corner:nom_tt_025C_1v80,0.3471631969050534
timing__setup__ws__corner:nom_tt_025C_1v80,9.76351294114852
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.347163
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.763513
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,419
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,18
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.8980189068765996
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.88000209610113
timing__hold__ws__corner:nom_ss_100C_1v60,0.9756489226006886
timing__setup__ws__corner:nom_ss_100C_1v60,2.677115493951005
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.975649
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.677115
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,339
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,18
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-1.6744506255496299
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.2894642385496313
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12638401793942822
timing__setup__ws__corner:nom_ff_n40C_1v95,12.32012571277708
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.126384
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.320126
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,818
design__max_fanout_violation__count,0
design__max_cap_violation__count,21
clock__skew__worst_hold,-1.5588049070526808
clock__skew__worst_setup,1.207112555190576
timing__hold__ws,0.10963230633629834
timing__setup__ws,2.38082271747299
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109632
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.380823
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 4200.0 3600.0
design__core__bbox,5.52 10.88 4194.28 3587.68
design__io,94
design__die__area,1.512E+7
design__core__area,1.49824E+7
design__instance__count__stdcell,282381
design__instance__area__stdcell,1.6694E+6
design__instance__count__macros,15
design__instance__area__macros,4.17425E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.390036
design__instance__utilization__stdcell,0.154458
design__rows,3838
design__rows:unithd,3838
design__sites,8077653
design__sites:unithd,8077653
design__instance__count__class:macro,15
design__instance__area__class:macro,4.17425E+6
design__instance__count__class:buffer,2
design__instance__area__class:buffer,7.5072
design__instance__count__class:inverter,1126
design__instance__area__class:inverter,4444.26
design__instance__count__class:sequential_cell,9296
design__instance__area__class:sequential_cell,222234
design__instance__count__class:multi_input_combinational_cell,59278
design__instance__area__class:multi_input_combinational_cell,580293
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1060645
design__instance__area__class:fill_cell,8.43736E+6
design__instance__count__class:tap_cell,145253
design__instance__area__class:tap_cell,181741
flow__warnings__count:PDN-0110,17
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,92
design__io__hpwl,108469557
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,63358.7
design__instance__displacement__mean,0.218
design__instance__displacement__max,13.3
route__wirelength__estimated,10111800
design__violations,0
design__instance__count__class:timing_repair_buffer,66286
design__instance__area__class:timing_repair_buffer,664755
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,4
design__instance__count__class:clock_buffer,887
design__instance__area__class:clock_buffer,12687.2
design__instance__count__class:clock_inverter,253
design__instance__area__class:clock_inverter,3241.86
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,205
design__instance__count__hold_buffer,1
global_route__vias,981983
global_route__wirelength,12673519
antenna__violating__nets,1067
antenna__violating__pins,1122
route__antenna_violation__count,1067
flow__warnings__count:EST-0026,1001
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
antenna_diodes_count,0
route__net,137285
route__net__special,2
route__drc_errors__iter:0,62306
route__wirelength__iter:0,10460243
route__drc_errors__iter:1,29408
route__wirelength__iter:1,10439538
route__drc_errors__iter:2,27052
route__wirelength__iter:2,10435857
route__drc_errors__iter:3,3894
route__wirelength__iter:3,10442514
route__drc_errors__iter:4,530
route__wirelength__iter:4,10443192
route__drc_errors__iter:5,171
route__wirelength__iter:5,10443268
route__drc_errors__iter:6,44
route__wirelength__iter:6,10443267
route__drc_errors__iter:7,0
route__wirelength__iter:7,10443330
route__drc_errors,0
