net,length_um
QSPI_IO0,1.6119mm
QSPI_IO3,1.5791mm
QSPI_IO2,1.57078mm
QSPI_IO1,1.55686mm
clknet_leaf_1_clk_i,1.30331mm
net30598,1.14065mm
net30583,1.1251mm
clknet_leaf_8_clk_i,1.11483mm
clknet_leaf_3_clk_i,1.0254mm
net30581,1.01806mm
clknet_6_1__leaf_clk_i_regs,913.18µm
I2C_SDA,901.12µm
clknet_6_15__leaf_clk_i_regs,878.26µm
clknet_6_36__leaf_clk_i_regs,842.715µm
clknet_6_14__leaf_clk_i_regs,825.43µm
clknet_6_53__leaf_clk_i_regs,785.39µm
clknet_6_0__leaf_clk_i_regs,778.27µm
clknet_6_16__leaf_clk_i_regs,776.04µm
clknet_6_13__leaf_clk_i_regs,774.48µm
clknet_6_4__leaf_clk_i_regs,773.44µm
clknet_2_3_1_clk_i_regs,764.27µm
clknet_6_39__leaf_clk_i_regs,762.35µm
clknet_2_0_1_clk_i_regs,757.15µm
clknet_6_50__leaf_clk_i_regs,750.89µm
clknet_6_58__leaf_clk_i_regs,749.32µm
clknet_6_37__leaf_clk_i_regs,709.81µm
clknet_6_25__leaf_clk_i_regs,708.46µm
net30568,705.1µm
clknet_0_clk_i_regs,704.41µm
clknet_6_31__leaf_clk_i_regs,704.22µm
clknet_0_clk_i,703.71µm
clknet_6_2__leaf_clk_i_regs,703.29µm
clknet_2_1_1_clk_i_regs,702.76µm
net30580,701.66µm
net30564,678.39µm
net30588,674.8µm
net30571,673.38µm
net30560,664.2µm
clknet_6_54__leaf_clk_i_regs,653.2µm
clknet_6_29__leaf_clk_i_regs,648.93µm
_019357_,639.45µm
clknet_6_47__leaf_clk_i_regs,635.34µm
clknet_6_5__leaf_clk_i_regs,633.06µm
clknet_6_24__leaf_clk_i_regs,626.97µm
clknet_6_51__leaf_clk_i_regs,623.8µm
net30590,623.36µm
net30570,616.05µm
clknet_4_13_0_clk_i_regs,615.11µm
net30566,613.86µm
net30563,611.65µm
clknet_6_45__leaf_clk_i_regs,609.77µm
net30572,608.99µm
clknet_6_26__leaf_clk_i_regs,606.86µm
clknet_6_11__leaf_clk_i_regs,605.73µm
net30593,604.12µm
clknet_6_20__leaf_clk_i_regs,596.76µm
net30596,591.36µm
net30558,586.675µm
clknet_6_42__leaf_clk_i_regs,579.39µm
clknet_6_3__leaf_clk_i_regs,569.08µm
clknet_4_11_0_clk_i_regs,568.13µm
net30576,566.82µm
clknet_3_5_0_clk_i_regs,566.58µm
net30569,566.18µm
net30556,566.16µm
net30555,565.78µm
net30599,565.14µm
clknet_4_5_0_clk_i_regs,563.59µm
clknet_6_44__leaf_clk_i_regs,556.72µm
net30562,555.43µm
clknet_6_38__leaf_clk_i_regs,555.24µm
net30600,547.52µm
clknet_6_30__leaf_clk_i_regs,547.08µm
net30594,546.88µm
net30575,540.96µm
net2332,539.44µm
clknet_4_9_0_clk_i_regs,538.69µm
clknet_1_0_1_clk_i_regs,534.96µm
clknet_leaf_5_clk_i,532.57µm
net30578,531.87µm
clknet_2_2_1_clk_i_regs,528.69µm
clknet_3_2_0_clk_i_regs,526.47µm
clknet_6_34__leaf_clk_i_regs,525.68µm
net11868,522.03µm
net1294,521.96µm
clknet_1_1_1_clk_i_regs,520.63µm
clknet_leaf_0_clk_i,518.76µm
clknet_6_17__leaf_clk_i_regs,515.86µm
clknet_3_4_0_clk_i_regs,515.43µm
clknet_3_7_0_clk_i_regs,514.89µm
net31558,512.96µm
net16242,512.86µm
net30567,510.9µm
clknet_6_49__leaf_clk_i_regs,510.23µm
net30586,509.56µm
net1257,509.13µm
net30589,508.12µm
clknet_6_22__leaf_clk_i_regs,507.51µm
clknet_6_27__leaf_clk_i_regs,506.39µm
net30559,506.22µm
clknet_6_23__leaf_clk_i_regs,503.54µm
clknet_6_18__leaf_clk_i_regs,502.35µm
_023134_,502.3µm
net30561,500.23µm
clknet_6_7__leaf_clk_i_regs,497.44µm
clknet_4_8_0_clk_i_regs,493.51µm
net30574,487.94µm
clknet_3_6_0_clk_i_regs,486.72µm
_013384_,485.735µm
_017291_,485.385µm
_019087_,484.715µm
clknet_3_1_0_clk_i_regs,484.69µm
clknet_3_3_0_clk_i_regs,483.94µm
clknet_4_10_0_clk_i_regs,483.12µm
net40478,475.96µm
_020889_,475.04µm
net139,475.005µm
net11663,471.99µm
clknet_6_56__leaf_clk_i_regs,471.3µm
clknet_1_1_0_clk_i_regs,467.48µm
_019446_,467.27µm
_019120_,466.85µm
net30565,466.21µm
clknet_4_0_0_clk_i_regs,464.62µm
clknet_2_3_0_clk_i_regs,462.99µm
clknet_1_1_0_clk_i,462.39µm
clknet_2_1_0_clk_i_regs,462.36µm
net47089,462.31µm
clknet_2_0_0_clk_i_regs,461.24µm
net12740,459.26µm
clknet_2_2_0_clk_i_regs,458.72µm
clknet_1_0_0_clk_i,457.94µm
clknet_6_28__leaf_clk_i_regs,457.21µm
clknet_1_0_0_clk_i_regs,456.52µm
clknet_6_57__leaf_clk_i_regs,452.22µm
clknet_6_52__leaf_clk_i_regs,448.34µm
clknet_6_48__leaf_clk_i_regs,447.95µm
clknet_6_35__leaf_clk_i_regs,447.7µm
clknet_6_10__leaf_clk_i_regs,446.96µm
_019686_,446.69µm
net31945,445.27µm
_018032_,443.145µm
net30582,443.01µm
_021991_,440.52µm
net14918,440.24µm
clknet_6_12__leaf_clk_i_regs,439.73µm
net33673,439.28µm
net31935,438.06µm
_019613_,436.32µm
_019877_,434.87µm
net30591,433.82µm
_020210_,433.515µm
_022352_,433.42µm
clknet_6_43__leaf_clk_i_regs,430.94µm
clknet_6_8__leaf_clk_i_regs,430.88µm
net41425,428.12µm
net33908,427.46µm
net38584,425.82µm
net32489,424.64µm
clknet_6_6__leaf_clk_i_regs,423.79µm
conv_accelerator_inst.acc\[218\],423.03µm
net40757,422.35µm
_056799_,421.54µm
net35811,419.48µm
net37028,419.44µm
conv_accelerator_inst.acc\[189\],419.405µm
net4756,418.825µm
clknet_4_3_0_clk_i_regs,418.25µm
net44999,418.025µm
net45715,417.98µm
clknet_4_12_0_clk_i_regs,417.8µm
clknet_6_40__leaf_clk_i_regs,417.08µm
net7596,416.97µm
_019538_,416µm
net17542,415.86µm
clknet_4_14_0_clk_i_regs,415.57µm
net41547,414.47µm
_023171_,414.38µm
net462,414.27µm
_019798_,413.86µm
net30592,413.56µm
clknet_6_41__leaf_clk_i_regs,411.09µm
net30585,410.66µm
net30595,409.44µm
net48462,409µm
clknet_6_9__leaf_clk_i_regs,407.94µm
net12063,407.85µm
net16083,407.365µm
clknet_6_59__leaf_clk_i_regs,407.32µm
net7193,406.9µm
net30573,406.18µm
net1953,406.085µm
net43406,405.97µm
clknet_3_0_0_clk_i_regs,405.01µm
clknet_4_4_0_clk_i_regs,404.94µm
net42592,404.91µm
net47748,404.48µm
net19887,403.79µm
net33334,402.04µm
net46533,401.785µm
net12421,401.56µm
_057394_,399.34µm
net3381,399.28µm
_019143_,398.56µm
_020176_,398.49µm
_025341_,398.36µm
net45719,398.11µm
clknet_1_0_1_clk_i,397.88µm
net41565,397.32µm
net39118,397.13µm
_020680_,397.1µm
clknet_leaf_6_clk_i,395.97µm
net19418,394.8µm
conv_accelerator_inst.acc\[176\],394.66µm
clknet_leaf_7_clk_i,394.53µm
net37205,394.47µm
_019597_,393.7µm
net10175,392.61µm
net7279,392.26µm
net10188,391.66µm
_019327_,391.3µm
_009334_,390.64µm
conv_accelerator_inst.acc\[236\],390.64µm
clknet_leaf_2_clk_i,389.87µm
net7512,388.57µm
clknet_4_7_0_clk_i_regs,388.51µm
net47583,388.14µm
net48230,387.42µm
net6321,386.865µm
net46150,386.69µm
net51,385.895µm
_009330_,385.84µm
net4439,385.56µm
_051392_,385.35µm
net28103,385.175µm
_057102_,384.52µm
_020748_,384.11µm
_020619_,383.325µm
net18451,383.26µm
clknet_6_32__leaf_clk_i_regs,382.07µm
net45436,381.89µm
net10136,381.21µm
net45668,380.615µm
net7987,379.92µm
net42802,379.66µm
_009333_,379.58µm
net4922,378.44µm
net48231,378.3µm
clknet_5_14_0_clk_i_regs,377.74µm
net9981,377.49µm
_056349_,376.94µm
net46364,376.88µm
net47644,376.81µm
clknet_5_4_0_clk_i_regs,376.68µm
net5263,376.54µm
net1629,376.46µm
_020127_,376.07µm
net48134,376.04µm
net36541,375.81µm
clknet_5_18_0_clk_i_regs,375.56µm
clknet_5_23_0_clk_i_regs,375.4µm
clknet_5_12_0_clk_i_regs,375.08µm
net30477,374.84µm
net49330,374.84µm
net33088,374.625µm
net10260,374.38µm
net40889,373.49µm
net44353,373.48µm
net31908,373.31µm
clknet_5_2_0_clk_i_regs,373.2µm
net2507,373.04µm
clknet_5_10_0_clk_i_regs,372.9µm
clknet_5_29_0_clk_i_regs,372.82µm
clknet_5_19_0_clk_i_regs,372.66µm
clknet_5_15_0_clk_i_regs,372.63µm
net32682,372.61µm
_019567_,372.22µm
clknet_5_0_0_clk_i_regs,372.05µm
clknet_5_1_0_clk_i_regs,371.92µm
net32475,371.695µm
clknet_5_5_0_clk_i_regs,371.68µm
clknet_5_16_0_clk_i_regs,371.42µm
net41121,371.42µm
clknet_5_7_0_clk_i_regs,371.22µm
clknet_5_21_0_clk_i_regs,371.12µm
clknet_5_8_0_clk_i_regs,370.6µm
clknet_5_25_0_clk_i_regs,370.56µm
net43843,370.3µm
clknet_6_61__leaf_clk_i_regs,369.01µm
net49090,369µm
_056517_,368.7µm
net7413,368.605µm
net16080,368.37µm
net32546,368.225µm
net11513,368.175µm
net12470,367.6µm
net17694,367.5µm
clknet_5_11_0_clk_i_regs,367.27µm
net8085,367.17µm
net49329,367µm
_021224_,366.56µm
net15244,366.52µm
_020066_,366.15µm
net4446,365.985µm
net47516,365.63µm
net37977,365.14µm
clknet_6_21__leaf_clk_i_regs,364.74µm
net41026,363.6µm
net7205,363.43µm
net47724,363.32µm
net5001,363.27µm
_020648_,363.265µm
net48703,363.105µm
net37446,362.85µm
_020957_,362.715µm
net7967,362.58µm
net43217,362.14µm
net40957,361.835µm
_056436_,361.63µm
_017561_,361.485µm
_021986_,361.405µm
net7259,361.19µm
net41581,360.52µm
net32178,360.435µm
net11266,360.34µm
_009535_,360.265µm
net10978,360.26µm
net44255,360.06µm
clknet_5_20_0_clk_i_regs,359.77µm
net34967,359.62µm
net48685,359.415µm
_020030_,359.41µm
net34648,359.32µm
net46365,359.195µm
net49327,359.14µm
net49125,358.81µm
net20096,358.79µm
clknet_5_22_0_clk_i_regs,358.72µm
_019599_,358.56µm
net10429,358.37µm
