Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,883
design__inferred_latch__count,0
design__instance__count,1343006
design__instance__area,1.4281E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,343
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,18
power__internal__total,0.03801102191209793
power__switching__total,0.006479446776211262
power__leakage__total,0.0002607903734315187
power__total,0.044751256704330444
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.3309652645622685
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.7520856372774711
timing__hold__ws__corner:nom_tt_025C_1v80,0.6686491549703742
timing__setup__ws__corner:nom_tt_025C_1v80,9.761743689686439
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.668649
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.761744
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,433
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,16
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.845569305174672
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.8474658992212785
timing__hold__ws__corner:nom_ss_100C_1v60,1.4674928354530636
timing__setup__ws__corner:nom_ss_100C_1v60,2.625544300731004
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.467493
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.625544
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,339
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,18
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-1.6627935055059848
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.282438413984192
timing__hold__ws__corner:nom_ff_n40C_1v95,0.3163787099629974
timing__setup__ws__corner:nom_ff_n40C_1v95,12.3283857723139
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.316379
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.328385
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,830
design__max_fanout_violation__count,0
design__max_cap_violation__count,21
clock__skew__worst_hold,-1.5457138229098746
clock__skew__worst_setup,1.2011909584766585
timing__hold__ws,0.28492453647354743
timing__setup__ws,2.449670757801621
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.284925
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.449671
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 4200.0 3600.0
design__core__bbox,5.52 10.88 4194.28 3587.68
design__io,94
design__die__area,1.512E+7
design__core__area,1.49824E+7
design__instance__count__stdcell,282394
design__instance__area__stdcell,1.66965E+6
design__instance__count__macros,15
design__instance__area__macros,4.17425E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.390052
design__instance__utilization__stdcell,0.154481
design__rows,3838
design__rows:unithd,3838
design__sites,8077653
design__sites:unithd,8077653
design__instance__count__class:macro,15
design__instance__area__class:macro,4.17425E+6
design__instance__count__class:buffer,2
design__instance__area__class:buffer,7.5072
design__instance__count__class:inverter,1126
design__instance__area__class:inverter,4444.26
design__instance__count__class:sequential_cell,9296
design__instance__area__class:sequential_cell,222234
design__instance__count__class:multi_input_combinational_cell,59278
design__instance__area__class:multi_input_combinational_cell,580322
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1060597
design__instance__area__class:fill_cell,8.43711E+6
design__instance__count__class:tap_cell,145253
design__instance__area__class:tap_cell,181741
flow__warnings__count:PDN-0110,17
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,92
design__io__hpwl,108469557
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,63366
design__instance__displacement__mean,0.218
design__instance__displacement__max,13.3
route__wirelength__estimated,10117900
design__violations,0
design__instance__count__class:timing_repair_buffer,66299
design__instance__area__class:timing_repair_buffer,664970
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,4
design__instance__count__class:clock_buffer,887
design__instance__area__class:clock_buffer,12687.2
design__instance__count__class:clock_inverter,253
design__instance__area__class:clock_inverter,3241.86
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,214
design__instance__count__hold_buffer,210
global_route__vias,982634
global_route__wirelength,12676507
antenna__violating__nets,1066
antenna__violating__pins,1137
route__antenna_violation__count,1066
flow__warnings__count:EST-0026,1001
flow__warnings__count:RSZ-0062,1
antenna_diodes_count,0
route__net,137298
route__net__special,2
route__drc_errors__iter:0,62219
route__wirelength__iter:0,10462588
route__drc_errors__iter:1,29522
route__wirelength__iter:1,10443023
route__drc_errors__iter:2,26555
route__wirelength__iter:2,10438196
route__drc_errors__iter:3,4145
route__wirelength__iter:3,10444371
route__drc_errors__iter:4,758
route__wirelength__iter:4,10445317
route__drc_errors__iter:5,261
route__wirelength__iter:5,10445308
route__drc_errors__iter:6,37
route__wirelength__iter:6,10445360
route__drc_errors__iter:7,27
route__wirelength__iter:7,10445355
route__drc_errors__iter:8,27
route__wirelength__iter:8,10445355
